Geography,Category,Unit,2016,2017,2018,2019,2020,2021
Afghanistan,Domestic Demand,AFN million,1415604.5,1393556.1,1639505.9,1931797.2,1809775.7,1879783.3
American Samoa,Domestic Demand,USD million,881.0,876.0,865.0,863.0,934.0,958.0
Armenia,Domestic Demand,AMD million,5502544.0,6163805.1,6840606.0,7420948.4,6760919.7,7662703.8
Azerbaijan,Domestic Demand,AZN million,58746.6,65629.8,66867.2,71836.8,72991.6,75732.4
Bangladesh,Domestic Demand,BDT million,18135262.0,20791858.0,24449877.0,26978996.0,29037170.1,32039240.7
Bhutan,Domestic Demand,BTN million,183040.1,195704.6,209291.3,207686.4,188517.8,186928.3
Brunei Darussalam,Domestic Demand,BND million,13883.9,14408.1,16476.4,17018.5,15828.2,20591.9
Cambodia,Domestic Demand,KHR million,84805900.0,92906194.6,101243652.9,111525564.8,105014611.3,109321370.5
China,Domestic Demand,CNY million,72941940.1,81745755.9,91222693.6,97171022.7,98715161.7,111100657.6
Fiji,Domestic Demand,FJD million,10728.0,11613.7,12537.6,13097.2,11344.4,11310.7
French Polynesia,Domestic Demand,XPF million,677903.0,711482.0,729863.1,753640.0,700103.6,724278.1
Guam,Domestic Demand,USD million,7818.0,7896.0,8147.0,8511.0,8848.0,9637.1
"Hong Kong, China",Domestic Demand,HKD million,2433637.0,2632545.0,2841180.0,2800382.0,2639547.0,2780372.4
India,Domestic Demand,INR million,156634900.0,176299100.0,195888500.0,208655100.0,198532100.0,236086233.7
Indonesia,Domestic Demand,IDR million,12307891500.0,13454048100.0,14997355100.0,15903068400.0,15196065500.0,16512772300.0
Japan,Domestic Demand,JPY million,539978800.0,548871400.0,556078500.0,561476800.0,540029400.0,546498332.8
Kazakhstan,Domestic Demand,KZT million,45385319.1,50044799.0,54572753.4,63956556.5,67723896.7,74941676.6
Kiribati,Domestic Demand,AUD million,456.9,460.9,466.6,469.3,447.7,462.2
