Geography,Category,Unit,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Azerbaijan,Inflation,Year-on-year growth (%) M&Q,10.865,10.257,12.529,16.076,13.057,14.437,13.789,10.239,4.043,2.189,1.944,1.306,2.252,3.056,2.962,2.655,3.032,3.029,2.721,2.517,3.916,4.64,7.034,11.033
Bangladesh,Inflation,Year-on-year growth (%) M&Q,5.779,5.53,5.431,5.324,5.283,5.722,5.862,5.927,5.76,5.581,5.473,5.373,5.479,5.577,5.55,5.756,5.506,5.778,5.726,5.75,5.269,5.489,5.496,5.909
Cambodia,Inflation,Year-on-year growth (%) M&Q,2.46,3.049,2.955,3.611,4.232,2.734,2.531,2.195,2.208,2.734,2.499,2.404,1.932,1.822,1.968,2.036,3.024,2.501,2.797,3.435,2.135,2.825,3.23,2.835
China,Inflation,Year-on-year growth (%) M&Q,2.102,2.109,1.629,2.161,1.438,1.508,1.603,1.822,2.126,1.712,2.286,2.173,1.83,2.668,2.864,4.223,4.957,2.722,1.958,0.12,-0.109,1.268,1.001,1.782
"Hong Kong, China",Inflation,Year-on-year growth (%) M&Q,2.789,2.549,3.102,1.225,0.571,2.017,1.755,1.637,2.449,2.154,2.464,2.556,2.183,2.938,3.298,3.107,1.865,1.511,-1.763,-0.563,1.198,0.794,2.268,2.031
India,Inflation,Year-on-year growth (%) M&Q,5.65,6.194,5.296,2.723,2.363,1.458,2.395,3.735,4.739,3.952,5.614,5.11,7.077,8.525,6.423,8.619,6.609,5.202,5.531,4.952,4.436,5.326,4.824,4.969
Indonesia,Inflation,Year-on-year growth (%) M&Q,4.335,3.461,3.025,3.303,3.645,4.292,3.806,3.498,3.278,3.254,3.09,3.173,2.625,3.144,3.4,2.949,2.922,2.114,1.201,1.47,1.432,1.477,1.57,1.761
Japan,Inflation,Year-on-year growth (%) M&Q,0.034,-0.372,-0.474,0.305,0.341,0.408,0.613,0.575,1.291,0.677,1.116,0.875,0.302,0.739,0.335,0.5,0.669,0.133,0.033,-0.929,-0.531,-0.733,-0.167,0.502
Kazakhstan,Inflation,Year-on-year growth (%) M&Q,15.052,16.761,17.304,9.544,7.802,7.539,7.029,7.362,6.64,6.167,5.999,5.291,4.952,5.206,5.396,5.445,5.99,6.832,7.028,7.271,7.261,7.392,8.654,8.696
Laos,Inflation,Year-on-year growth (%) M&Q,1.091,1.252,1.892,2.148,1.898,1.001,0.144,0.286,1.439,2.009,2.688,1.924,1.671,1.771,3.427,5.849,6.437,6.191,5.194,3.219,2.135,3.627,4.264,5.05
Malaysia,Inflation,Year-on-year growth (%) M&Q,3.44,1.928,1.347,0.64,4.288,3.957,3.757,4.568,1.678,1.203,0.362,0.304,-0.303,0.636,1.332,0.992,0.911,-2.556,-1.369,-1.528,0.492,4.174,2.138,3.16
Myanmar,Inflation,Year-on-year growth (%) M&Q,8.393,9.377,5.745,4.495,7.58,3.847,2.702,4.309,5.252,6.075,8.111,7.999,6.917,9.27,10.247,8.81,8.015,4.532,1.861,1.074,1.63,5.016,6.831,6.811
Pakistan,Inflation,Year-on-year growth (%) M&Q,3.761,3.509,3.88,3.906,4.272,4.576,3.394,4.113,3.822,4.359,5.595,6.481,8.273,8.939,11.509,11.927,11.939,9.209,8.832,8.398,7.832,10.565,8.602,11.001
Philippines,Inflation,Year-on-year growth (%) M&Q,0.6,0.967,1.433,2.034,2.9,2.866,2.667,3.0,3.859,4.773,6.25,5.943,3.832,2.951,1.661,1.535,2.684,2.254,2.492,3.106,4.465,4.382,4.565,4.159
Singapore,Inflation,Year-on-year growth (%) M&Q,-0.842,-0.922,-0.386,0.024,0.625,0.773,0.447,0.46,0.243,0.327,0.698,0.486,0.496,0.782,0.352,0.631,0.369,-0.708,-0.273,-0.114,0.758,2.292,2.486,3.684
South Korea,Inflation,Year-on-year growth (%) M&Q,0.856,0.837,0.736,1.45,2.204,1.925,2.217,1.443,1.077,1.491,1.546,1.784,0.538,0.651,0.047,0.295,0.969,0.01,0.72,0.454,1.422,2.488,2.535,3.546
Sri Lanka,Inflation,Year-on-year growth (%) M&Q,1.063,5.338,5.005,4.456,7.782,7.264,7.602,8.159,3.791,2.048,2.283,0.503,2.176,3.077,3.533,5.294,7.571,5.789,6.236,5.078,4.35,5.89,6.57,11.14
Taiwan,Inflation,Year-on-year growth (%) M&Q,1.744,1.333,0.711,1.788,0.78,0.566,0.74,0.402,1.557,1.717,1.67,0.466,0.319,0.815,0.41,0.696,0.54,-0.974,-0.473,-0.042,0.801,2.124,2.282,2.674
Thailand,Inflation,Year-on-year growth (%) M&Q,-0.497,0.303,0.26,0.688,1.251,0.096,0.428,0.872,0.606,1.329,1.512,0.842,0.746,1.083,0.606,0.395,0.415,-2.667,-0.727,-0.393,-0.531,2.361,0.703,2.42
Turkmenistan,Inflation,Year-on-year growth (%) M&Q,,,,,,9.532,9.68,10.42,14.209,16.1,11.354,,,,,,,,,,,,,
Uzbekistan,Inflation,Year-on-year growth (%) M&Q,,,,,,,,,18.73,18.764,16.067,15.19,13.361,13.667,15.338,15.695,13.792,14.233,12.58,11.299,11.295,10.833,10.999,10.298
Vietnam,Inflation,Year-on-year growth (%) M&Q,1.876,2.814,3.399,4.866,4.953,3.33,3.087,2.726,2.821,3.756,4.136,3.443,2.63,2.65,2.222,3.669,5.564,2.832,3.183,1.366,0.293,2.67,2.507,1.892
Australia,Inflation,Year-on-year growth (%) M&Q,1.311,1.023,1.296,1.476,2.126,1.934,1.828,1.909,1.9,2.078,1.885,1.784,1.332,1.593,1.674,1.84,2.191,-0.348,0.693,0.861,1.115,3.846,3.012,3.498
New Zealand,Inflation,Year-on-year growth (%) M&Q,0.418,0.417,0.415,1.336,2.167,1.743,1.902,1.594,1.1,1.5,1.901,1.889,1.484,1.675,1.465,1.854,2.534,1.453,1.444,1.437,1.521,3.343,4.934,5.949
Belarus,Inflation,Year-on-year growth (%) M&Q,12.35,12.348,11.679,10.988,7.604,6.308,5.371,4.922,4.897,4.496,4.894,5.179,5.939,5.801,5.664,5.01,4.638,5.163,5.62,6.698,8.247,9.311,9.918,10.29
Bosnia and Herzegovina,Inflation,Year-on-year growth (%) M&Q,-1.278,-1.567,-1.1,-0.42,1.1,1.17,1.145,1.266,0.767,1.399,1.767,1.727,1.047,0.633,0.3,0.167,0.366,-1.6,-1.334,-1.6,-1.167,1.432,2.4,5.4
Bulgaria,Inflation,Year-on-year growth (%) M&Q,-0.673,-1.85,-0.347,-0.316,1.653,2.268,1.583,2.743,2.008,2.582,3.52,3.143,3.285,3.341,2.719,3.075,3.608,1.559,1.133,0.423,-0.004,2.366,3.821,7.038
Croatia,Inflation,Year-on-year growth (%) M&Q,-1.27,-1.721,-1.303,-0.201,1.083,1.077,1.015,1.34,0.971,1.899,1.876,1.256,0.564,0.719,0.888,0.914,1.352,-0.292,-0.098,-0.324,0.39,2.083,3.034,4.706
Czech Republic,Inflation,Year-on-year growth (%) M&Q,0.46,0.242,0.511,1.434,2.433,2.233,2.567,2.633,1.9,2.234,2.367,2.067,2.733,2.8,2.833,3.0,3.567,3.133,3.3,2.633,2.2,2.933,4.132,6.133
Estonia,Inflation,Year-on-year growth (%) M&Q,-0.418,-0.686,0.43,1.284,2.98,3.127,3.73,3.815,3.115,3.318,3.566,3.726,2.311,2.909,2.214,1.727,1.494,-1.162,-0.949,-1.137,0.632,3.096,5.548,9.339
Georgia,Inflation,Year-on-year growth (%) M&Q,5.065,2.122,0.845,0.61,4.922,6.586,5.952,6.687,3.292,2.385,2.909,1.89,2.729,4.396,5.312,6.969,6.31,6.511,4.732,3.343,4.542,8.256,12.313,13.106
Hungary,Inflation,Year-on-year growth (%) M&Q,0.348,-0.049,0.049,1.235,2.604,2.08,2.418,2.293,1.982,2.721,3.446,3.244,3.152,3.744,3.062,3.396,4.32,2.481,3.714,2.815,3.15,5.194,4.991,7.084
Latvia,Inflation,Year-on-year growth (%) M&Q,-0.449,-0.708,0.224,1.459,3.18,3.119,2.887,2.61,1.989,2.312,2.871,2.867,2.915,3.315,2.896,2.221,1.916,-0.429,0.0,-0.615,-0.102,2.319,3.801,7.137
