Geography,Category,Unit,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Indonesia,Wage per Hour,IDR,11702.6,12701.8,13701.0,14102.6,14504.1,14611.5,14718.9,14481.3,14243.7,14713.4,15183.2,15082.2,14981.3,15309.7,15638.1,15647.7,15657.4,15225.0,14792.5,15072.4,15352.2,15019.0,14714.0,15086.7
Japan,Wage per Hour,JPY,1580.1,1907.1,1782.6,2130.8,1590.2,1910.8,1789.0,2149.3,1614.6,1960.0,1807.4,2199.7,1613.1,1968.2,1809.6,2200.3,1615.6,1936.6,1786.6,2148.4,1607.9,1951.1,1795.1,2164.3
Kazakhstan,Wage per Hour,KZT,766.0,828.5,814.5,892.1,809.2,865.1,853.8,944.6,879.5,938.9,933.4,1015.7,972.1,1076.2,1102.7,1176.2,1155.8,1223.3,1178.8,1345.0,1331.7,1451.2,1405.8,1584.2
Singapore,Wage per Hour,SGD,27.8,24.2,23.5,27.4,28.5,25.2,24.5,28.7,29.9,26.3,25.5,29.7,31.1,27.0,26.8,29.9,32.0,28.1,27.5,30.6,32.2,28.5,27.8,31.9
South Korea,Wage per Hour,KRW,21267.5,18763.6,20570.2,19807.1,21334.2,19904.2,20789.7,22092.0,23865.6,21127.2,23132.2,21900.7,25319.0,21520.5,23502.4,22765.2,24579.2,22629.4,23625.0,23826.4,26597.9,22844.3,25637.9,25003.1
Taiwan,Wage per Hour,TWD,394.7,280.1,283.7,280.3,408.6,291.6,279.9,288.3,442.6,302.3,304.2,286.7,425.0,305.8,306.9,296.1,441.8,311.8,305.9,306.7,459.3,327.9,324.0,321.0
Thailand,Wage per Hour,THB,77.9,78.8,79.6,80.4,77.3,78.7,79.9,80.5,79.4,79.7,81.3,81.2,80.9,82.8,82.5,82.0,83.1,86.5,84.3,84.1,84.8,89.3,87.2,87.2
Vietnam,Wage per Hour,VND,26653.8,25410.8,25872.4,26643.4,28882.9,27283.2,28132.9,28368.9,30356.6,29486.0,30860.1,31368.9,36288.5,34195.8,34823.6,35554.7,37090.9,33251.7,34222.0,34872.9,37788.5,35638.1,31464.9,
Australia,Wage per Hour,AUD,32.1,32.6,32.7,32.6,32.8,33.1,33.3,33.3,33.6,34.0,34.2,34.4,34.5,34.9,35.2,35.5,36.0,36.6,36.7,36.3,36.6,37.0,38.1,37.9
New Zealand,Wage per Hour,NZD,29.5,29.7,30.0,30.0,30.3,30.4,30.7,30.9,31.1,31.3,31.7,31.9,32.1,32.5,32.8,33.0,33.3,33.5,34.1,34.4,34.6,34.8,35.3,35.7
Belarus,Wage per Hour,BYN,4.5,4.8,4.9,5.0,4.8,5.2,5.5,5.9,5.7,6.1,6.4,6.8,6.5,7.0,7.3,7.5,7.5,7.9,8.3,8.8,8.7,9.2,9.7,10.2
Bosnia and Herzegovina,Wage per Hour,BAM,7.3,7.3,7.3,7.4,7.4,7.4,7.4,7.5,7.5,7.6,7.7,7.8,7.8,7.9,8.0,8.1,8.2,8.2,8.3,8.4,8.5,8.6,8.7,8.9
Bulgaria,Wage per Hour,BGN,5.2,5.4,5.3,5.6,5.7,5.9,5.9,6.2,6.1,6.4,6.3,6.7,6.9,7.2,7.1,7.5,7.5,7.7,7.8,8.2,8.3,8.7,8.7,9.1
Croatia,Wage per Hour,HRK,45.1,44.9,43.8,45.4,46.6,46.0,46.4,47.5,47.8,49.5,48.9,48.6,51.6,51.2,50.0,50.9,52.8,52.1,51.6,52.4,55.0,54.6,53.6,55.6
Czech Republic,Wage per Hour,CZK,152.8,157.2,156.9,168.9,160.9,169.0,168.2,183.0,174.7,183.7,181.9,196.0,189.6,199.5,196.9,211.4,197.3,198.9,205.2,223.2,207.5,224.3,218.5,239.2
Estonia,Wage per Hour,EUR,6.9,6.9,6.6,7.1,7.1,7.5,7.2,7.7,7.4,7.5,7.5,7.9,7.9,8.2,8.0,8.4,8.4,8.7,8.3,8.7,9.0,9.1,8.8,9.3
Georgia,Wage per Hour,GEL,5.7,6.0,6.1,6.6,6.1,6.6,6.6,7.1,6.6,6.8,7.0,7.5,6.8,7.3,7.6,8.2,7.5,7.1,7.7,8.2,7.8,8.2,8.5,9.1
Hungary,Wage per Hour,HuF,1559.5,1610.6,1583.0,1713.7,1715.5,1841.0,1756.3,1928.5,1897.2,2045.0,1950.4,2131.6,2172.5,2306.1,2222.5,2448.8,2385.5,2439.9,2455.4,2686.9,2578.3,2696.9,2603.2,2841.0
Latvia,Wage per Hour,EUR,4.9,5.1,5.1,5.4,5.3,5.5,5.5,5.7,5.7,5.9,6.0,6.2,6.2,6.4,6.5,6.6,6.6,6.7,6.9,7.1,7.3,7.4,7.7,7.8
Lithuania,Wage per Hour,EUR,5.7,5.9,6.0,6.3,6.3,6.4,6.5,6.7,6.8,7.1,7.1,7.4,7.5,7.6,7.8,8.0,8.1,8.2,8.6,9.0,9.0,9.2,9.4,9.8
North Macedonia,Wage per Hour,MKD,178.3,180.3,180.4,184.1,182.3,184.4,185.7,189.8,190.9,195.8,195.9,202.3,199.7,205.2,206.3,213.8,222.3,216.8,225.1,229.5,231.3,235.6,236.0,242.3
Poland,Wage per Hour,PLN,23.8,22.8,22.9,23.8,24.8,24.1,24.2,25.7,26.5,26.0,26.2,27.7,28.3,27.8,28.2,29.6,30.5,28.9,29.8,31.3,32.7,31.8,32.6,33.9
Romania,Wage per Hour,RON,15.9,16.6,16.6,17.7,18.4,19.3,19.2,20.1,24.8,26.3,26.0,27.4,28.6,29.6,29.1,30.4,30.6,30.6,31.3,32.8,32.4,33.1,32.9,34.4
Russia,Wage per Hour,RUB,196.2,215.8,206.0,229.8,207.3,231.5,217.7,246.9,234.3,256.4,241.4,270.2,253.8,280.1,264.1,299.0,279.3,293.4,283.5,324.1,300.7,330.8,312.7,365.5
Serbia,Wage per Hour,RSD,346.3,369.2,366.0,382.9,361.3,386.5,380.4,394.4,391.4,395.4,390.6,406.0,427.7,434.5,432.7,454.1,472.0,472.2,473.9,496.5,505.4,517.5,516.4,548.2
Slovakia,Wage per Hour,EUR,5.0,5.2,5.1,5.7,5.2,5.5,5.4,6.0,5.5,5.8,5.7,6.3,5.9,6.3,6.1,6.8,6.3,6.3,6.5,7.2,6.6,7.0,6.9,7.7
