Geography,Category,Unit,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Azerbaijan,Index of Consumer Prices,2010 = 100,130.2,130.7,131.3,138.1,147.2,149.6,149.3,152.3,153.2,152.8,152.3,154.2,156.6,157.5,156.8,158.3,161.4,162.3,161.0,162.3,167.7,169.8,172.4,180.2
Bangladesh,Index of Consumer Prices,2010 = 100,153.3,152.3,156.1,159.2,161.4,161.0,165.2,168.6,170.7,170.0,174.3,177.7,180.0,179.4,184.0,187.9,189.9,189.8,194.5,198.7,199.9,200.2,205.2,210.5
Cambodia,Index of Consumer Prices,2010 = 100,118.6,120.8,121.9,122.9,123.6,124.1,125.0,125.6,126.4,127.5,128.1,128.6,128.8,129.8,130.6,131.2,132.7,133.1,134.3,135.7,135.5,136.8,138.6,139.5
China,Index of Consumer Prices,2010 = 100,117.2,116.8,117.1,117.7,118.9,118.6,119.0,119.9,121.4,120.6,121.7,122.5,123.7,123.8,125.2,127.6,129.8,127.2,127.6,127.8,129.6,128.8,128.9,130.1
"Hong Kong, China",Index of Consumer Prices,2010 = 100,126.2,125.1,125.8,126.6,126.9,127.6,128.0,128.7,130.0,130.3,131.2,132.0,132.9,134.2,135.5,136.1,135.3,136.2,133.1,135.3,137.0,137.3,136.1,138.0
India,Index of Consumer Prices,2010 = 100,152.3,155.9,158.2,157.3,155.9,158.2,162.0,163.1,163.3,164.5,171.1,171.5,174.9,178.5,182.1,186.3,186.5,187.8,192.2,195.5,194.7,197.8,201.4,205.2
Indonesia,Index of Consumer Prices,2010 = 100,135.8,135.9,137.6,138.6,140.8,141.7,142.8,143.5,145.4,146.3,147.2,148.0,149.2,150.9,152.2,152.4,153.6,154.1,154.1,154.6,155.8,156.4,156.5,157.3
Japan,Index of Consumer Prices,2010 = 100,103.1,103.5,103.3,103.9,103.5,103.9,103.9,104.5,104.8,104.6,105.1,105.4,105.2,105.4,105.4,106.0,105.9,105.5,105.5,105.0,105.3,104.8,105.3,105.5
Kazakhstan,Index of Consumer Prices,2010 = 100,153.3,156.1,158.0,161.0,165.2,167.9,169.1,172.8,176.2,178.3,179.2,182.0,184.9,187.5,188.9,191.9,196.0,200.4,202.2,205.8,210.2,215.2,219.7,223.7
Laos,Index of Consumer Prices,2010 = 100,125.9,127.2,128.9,129.2,128.3,128.5,129.1,129.6,130.1,131.1,132.6,132.1,132.3,133.4,137.1,139.8,140.8,141.7,144.2,144.3,143.8,146.8,150.4,151.6
